name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
Dustin Hoffman,entertainer,253.02811493798248,73.02811493798248,135.70708569881754,163.67013232072088,Sagittarius,8,4,3,10,9,5,4,11,10
Meryl Streep,entertainer,23.48315120240304,203.48315120240304,90.55815335259574,42.36034479227498,Aries,0,10,12,4,6,10,12,4,6
Tom Hanks,entertainer,247.5555243068939,67.55552430689386,107.19846520057689,125.4416500796878,Sagittarius,8,5,5,11,11,6,5,12,11
Denzel Washington,entertainer,275.5272716472229,95.5272716472229,276.22582003501066,312.6710775330051,Capricorn,9,12,11,6,5,1,12,7,6
Morgan Freeman,entertainer,255.1211108904738,75.1211108904738,70.11707655341019,325.6882279015608,Sagittarius,8,7,10,1,4,7,11,1,5
Harrison Ford,entertainer,154.94968229677718,334.94968229677715,110.43801085090111,110.26869990358053,Virgo,5,2,2,8,8,3,3,9,9
Leonardo DiCaprio,entertainer,250.38766954645635,70.38766954645632,228.3274971153772,191.05819375299558,Sagittarius,8,1,2,7,8,2,3,8,9
Brad Pitt,entertainer,101.1600899250109,281.1600899250109,265.6073325009538,289.7694729218224,Cancer,3,7,6,1,12,8,7,2,1
George Clooney,entertainer,153.26848057506527,333.26848057506527,45.34738643358142,295.0170728129058,Virgo,5,4,8,10,2,5,9,11,3
Johnny Depp,entertainer,110.6364415860546,290.6364415860546,77.80879241227399,280.6836311153853,Cancer,3,2,7,8,1,2,7,8,1
Tom Cruise,entertainer,129.04528915783482,309.0452891578348,101.19528184287984,120.6185605405391,Leo,4,1,1,7,7,2,1,8,7
Will Smith,entertainer,9.622370961779831,189.62237096177984,182.87303316009127,228.7290463019629,Aries,0,7,5,1,11,7,6,1,12
Samuel L. Jackson,entertainer,33.21298098862349,213.21298098862349,269.55214672974023,156.95855946072868,Taurus,1,5,8,11,2,6,9,12,3
Anthony Hopkins,entertainer,245.87513583760034,65.87513583760034,279.412122343605,265.4298756458185,Sagittarius,8,11,12,5,6,12,1,6,7
Daniel Day-Lewis,entertainer,229.64463994125816,49.64463994125816,38.89801128804599,33.027102718607615,Scorpio,7,7,7,1,1,7,7,1,1
Christian Bale,entertainer,267.6331067295893,87.63310672958931,310.22244889602035,30.170906169824903,Sagittarius,8,11,8,5,2,11,8,5,2
Heath Ledger,entertainer,167.1666499155054,347.1666499155054,13.900161086731185,102.30029269544535,Virgo,5,6,3,12,9,6,3,12,9
