name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Andre Agassi,athlete,38.751908709196144,1,319.01344078922176,10,52.437803987983095,1,62.00545415749731,2,67.32735166276125,2,210.0976944436127,7,41.67988782679057,1,0,1,6,-2.3588647586831457,0.517643928971894
John McEnroe,athlete,327.5150203560298,10,69.90344152128817,2,329.71402551190175,10,350.6950913692876,11,62.81958044066504,2,240.61920944340443,8,274.38312133648844,9,1,0,3,2.2379580997796027,-0.8941658848284306
Bjorn Borg,athlete,75.73393369572186,2,43.147970303933704,1,60.26055598406421,2,98.36467449070574,3,331.7526202788749,11,145.02247394885484,4,238.2901362345508,7,0,1,7,-1.3930889049791222,0.7735934729278949
Steffi Graf,athlete,82.94754090924125,2,74.4784726174683,2,63.895398173082434,2,37.27383455295053,1,245.5441186608844,8,176.80633743094535,5,35.241717055001004,1,0,1,7,-1.9303793309746133,1.3020129073850064
Martina Navratilova,athlete,205.27980048204103,6,12.840789317759336,0,189.30662140288425,6,164.4749535364075,5,343.60404542134853,11,171.3413258654417,5,240.81098571468507,8,1,0,1,0.4123532333538241,0.6593066564718314
Billie Jean King,athlete,239.30057231954265,7,177.16077101813005,5,246.11434838202956,8,192.7674694604073,6,77.7015002025186,2,146.3266376278169,4,84.98139874248852,2,1,0,3,0.37758171878174457,-0.5600022798603358
Chris Evert,athlete,268.77298786937837,8,223.69408215114683,7,266.33583333848907,8,228.91058258685652,7,342.04600849591947,11,118.08750749489036,3,227.3168543272687,7,1,0,2,1.5823630006820684,-0.01766199878646706
Monica Seles,athlete,250.17303801706245,8,333.8057364702363,11,231.11560265803257,7,295.7269512317929,9,25.58223881498231,0,308.5460068013801,10,92.90758043244344,3,1,0,3,1.0198329835991329,0.1997970113097004
Maria Sharapova,athlete,28.902981391882257,0,279.94536077661365,9,10.955063661723658,0,356.1779747754883,11,69.2117344426501,2,11.462350233228632,0,260.8601449353474,8,0,1,0,-1.2630468935764374,-1.7682721773845564
Tiger Woods,athlete,278.6221336270575,9,257.82197112807563,8,295.9507733235245,9,238.13136831318013,7,77.65542067004827,2,15.460550466014087,0,121.13654808989972,4,1,0,3,1.0364052946900668,-1.8298125680715454
Jack Nicklaus,athlete,299.93355463566144,9,69.1553702603639,2,292.975762287219,9,333.12873337137756,11,11.660041972690234,0,4.034853818985,0,24.948450603450205,0,1,0,3,1.250546277967533,-1.867899139736896
